,QID,label,description,instance of
0,Q5296,Wikimedia main page,main page of a Wikimedia project,Wikimedia internal item
1,Q178995,HTTP cookie,small piece of data sent from a website and stored on the user's computer by the user's web browser,
2,Q866,YouTube,American video-sharing platform owned by Alphabet Inc.,video streaming service
4,Q355,Facebook,American online social media and social networking service,social networking service
5,Q115564437,ChatGPT,artificial intelligence chatbot developed by OpenAI,generative artificial intelligence chatbot
6,Q936394,No label found,pornographic video sharing website owned by Aylo,adult tube site
7,Q23685,Jimmy Carter,president of the United States from 1977 to 1981 (1924–2024),human
8,Q209330,Instagram,photo and video sharing social network owned by Meta Platforms,social networking service
9,Q396412,Indian Premier League,professional cricket league in India,sports league
10,Q5281,Yandex,Russian technology company,public company
11,Q11571,Cristiano Ronaldo,Portuguese association football player (born 1985),human
12,Q28561969,XXXTentacion,American rapper (1998–2018),human
13,Q668,India,country in South Asia,country
14,Q22075020,xXx Return of Xander Cage,2017 film directed by D. J. Caruso,film
15,Q26876,Taylor Swift,American singer-songwriter (born 1989),human
16,Q317521,Elon Musk,businessman and entrepreneur (born 1971),human
17,Q615,Lionel Messi,Argentine association football player (born 1987),human
18,Q132537,Robert Oppenheimer,"American theoretical physicist, known as ""father of the atomic bomb"" (1904–1967)",human
20,Q108839994,Oppenheimer,2023 film directed by Christopher Nolan,film
21,Q918,X,American social networking service founded in 2006,social networking service
22,Q834730,Chrysler Hemi engine,series of V6 and V8 engines built by Chrysler,trademark
23,Q10853588,Kamala Harris,Vice President of the United States from 2021 to 2025,human
24,Q115368075,2023 Indian Premier League,16th edition of the Indian Premier League,sports season
25,Q320476,Tampa Bay Buccaneers,"National Football League franchise in Tampa, Florida",American football team
26,Q16057443,2023 Men's Cricket World Cup,13th edition of the premier international cricket competition,sports season
27,Q9448,Premier League,English men's association top football league,association football league
28,Q481,No label found,sponsored top-level Internet domain intended for pornographic websites,sponsored top-level domain
29,Q25136249,xXx,film series by Rich Wilkes,film series
30,Q22686,Donald Trump,"president of the United States (2017–2021, 2025–present)",human
31,Q52,Wikipedia,free multilingual online encyclopedia,encyclopedic wiki
32,Q60809,Ansel Adams,American photographer and environmentalist (1902–1984),human
33,Q57013596,No label found,pornographic video sharing website,website
34,Q95,Google,"American multinational technology company, a subsidiary of Alphabet Inc.",business
35,Q192202,Cricket World Cup,international cricket tournament,tournament
36,Q801,Israel,country in West Asia,sovereign state
37,Q1049511,No label found,Meta Platforms-owned mobile instant messenger and social media service,online service
38,Q290,sex,biological system that determines an individual's sexually reproductive function,medical attribute
39,Q42253,URL,web address to a particular file or page,technical standard
40,Q482607,Munhwa Broadcasting Corporation,South Korean broadcasting company,broadcaster
41,Q30,United States,country located primarily in North America,sovereign state
42,Q6279,Joe Biden,46th President of the United States (2021–2025),human
43,Q352,Adolf Hitler,"dictator of Germany from 1933 to 1945, main instigator of World War II (1889–1945)",human
44,Q36159,LeBron James,American basketball player (born 1984),human
45,Q21621995,Kylian Mbappé,French footballer (born 1998),human
46,Q4725343,Alia Bhatt,Indian actress,human
47,Q24890727,raindrop cake,gelatinous dessert,
48,Q131814,Tina Turner,American-born Swiss singer and songwriter (1939–2023),human
49,Q102180106,Deadpool & Wolverine,2024 Marvel Studios film by Shawn Levy,film
50,Q61707579,OnlyFans,British social media and content distribution platform,adult content subscription service
51,Q2680,Bruce Willis,American actor (born 1955),human
52,Q43416,Keanu Reeves,Canadian actor and musician (born 1964),human
53,Q283799,xXx,2002 film directed by Rob Cohen,film
54,Q85518537,Carlos Alcaraz,Spanish tennis player,human
55,Q509644,Griselda Blanco,Colombian drug baron (1943–2013),human
56,Q2685,Arnold Schwarzenegger,"Austrian and American actor, bodybuilder, and politician (born 1947)",human
57,Q7836292,Travis Kelce,American football player (born 1989),human
58,Q38799,Hamas,Palestinian Islamist political and military organization,political organization
59,Q324670,Omegle,free online chat website,website
60,Q937,Albert Einstein,German-born theoretical physicist (1879–1955),human
61,Q303,No label found,American singer and actor (1935–1977),human
62,Q122382481,Project 2025,Heritage Foundation policy plans for 2025 presidential administration,plan
63,Q1924847,Margot Robbie,Australian actress (b. 1990),human
64,Q2831,No label found,"American singer, songwriter, dancer, and philanthropist (1958–2009)",human
65,Q19877770,Timothée Chalamet,French-American actor (born 1995),human
66,Q152036,lorem ipsum,type of placeholder text,filler text
67,Q3700050,XVideos,pornographic video sharing and viewing website,pornography website
68,Q202589,Cillian Murphy,Irish actor (born 1976),human
69,Q6622409,list of highest-grossing Indian films worldwide,Wikimedia list article,Wikimedia list article
70,Q193815,Ryan Gosling,"Canadian actor, singer and musician",human
71,Q114929139,deaths in 2023,list of notable deaths in 2023,Wikimedia list article
72,Q14752155,Pedro Pascal,Chilean-American actor (born 1975),human
73,Q41421,Michael Jordan,American basketball player and businessman (born 1963),human
74,Q5608,Eminem,American rapper,human
75,Q320670,SN 1604,supernova visible from Earth in the 17th century,supernova
76,Q899048,Lyle and Erik Menendez,American brothers convicted of murdering their parents,sibling duo
77,Q192682,Ryan Reynolds,"Canadian actor, comedian, screenwriter, and film producer",human
78,Q2429697,gallery of sovereign-state flags,Wikipedia list article,Wikimedia list article
79,Q54812588,Jannik Sinner,Italian tennis player,human
80,Q28967995,Erling Haaland,Norwegian association football player (born 2000),human
81,Q38111,Leonardo DiCaprio,American actor and film producer (born 1974),human
82,Q37079,Tom Cruise,American actor and producer (born 1962),human
83,Q40026,Sylvester Stallone,American actor and filmmaker (born 1946),human
84,Q924355,XXXX,Australian beer brand,trademark
85,Q49561909,Sydney Sweeney,American actress (born 1997),human
86,Q113135527,Saltburn,2023 film by Emerald Fennell,film
87,Q109875642,The Idol,American drama television series,television series
88,Q113704154,Lamine Yamal,Spanish footballer,human
89,Q16617922,xHamster,pornographic video sharing website,dot-com company
90,Q115947372,Animal,2023 film by Sandeep Reddy Vanga,film
91,Q162959,Blake Lively,American actress (born 1987),human
92,Q25173,Titanic,"British transatlantic passenger liner, launched and foundered in 1912",four funnel liner
93,Q189489,Zendaya,American actress and singer,human
94,Q1381966,Flipkart,Indian electronic commerce company,business
95,Q76,Barack Obama,president of the United States from 2009 to 2017,human
96,Q4906916,biggest ball of twine,title of multiple roadside attractions,world record
97,Q61503,The Hollywood Reporter,American publication focusing on the Hollywood motion picture industry,magazine
98,Q43203,Clint Eastwood,American actor and film director (born 1930),human
99,Q409,Bob Marley,Jamaican reggae musician (1945–1981),human
100,Q29226331,Guardians of the Galaxy Vol. 3,2023 Marvel Studios film by James Gunn,film
101,Q2756349,Liam Payne,English singer and songwriter (1993–2024),human
102,Q66316924,Killers of the Flower Moon,2023 film directed by Martin Scorsese,film
103,Q123489953,deaths in 2024,list of notable deaths in 2024,Wikimedia list article
104,Q9682,Elizabeth II,Queen of the United Kingdom from 1952 to 2022,human
105,Q362,World War II,1939–1945 global conflict,world war
106,Q15869,Freddie Mercury,"British singer, songwriter and musician, frontman of the rock band Queen (1946–1991)",human
107,Q10738,Dwayne Johnson,American actor and professional wrestler (born 1972),human
108,Q7520267,Simone Biles,American artistic gymnast,human
109,Q21914464,Dua Lipa,British singer-songwriter,human
110,Q19848,Lady Gaga,"American singer, songwriter, and actress (born 1986)",human
111,Q18637166,Andrew Tate,"American-British businessman, former kickboxer, dating coach and manosphere activist",human
112,Q110999040,full-scale Russo-Ukrainian war,"full-scale invasion of Ukraine by Russia starting on 24 February 2022 , part of Russo-Ukrainian War",war
113,Q40715,Jennifer Lopez,American singer and actress (born 1969),human
114,Q21738166,Jenna Ortega,American actress (born 2002),human
115,Q213854,Virat Kohli,Indian cricket player,human
116,Q298364,Jeffrey Dahmer,American serial killer (1960–1994),human
117,Q2149,XXX,Wikimedia disambiguation page,Wikimedia disambiguation page
118,Q28935729,JD Vance,vice president of the United States since 2025,human
119,Q79031,Mike Tyson,American boxer and media personality,human
120,Q142794,Neymar,Brazilian association football player.,human
121,Q34436,Scarlett Johansson,American actress (born 1984),human
122,Q101110072,2024 United States presidential election,60th quadrennial U.S. presidential election,United States presidential election
123,Q9334,No label found,email service developed by Google,mailbox provider
124,Q171,wiki,type of website that visitors can edit,type of website
125,Q5812,Novak Djokovic,Serbian tennis player,human
126,Q83287,Selena Gomez,American singer and actress (born 1992),human
127,Q189490,Jennifer Lawrence,American actress and producer (born 1990),human
128,Q135622,Google Translate,multilingual neural machine translation service from Google,website
129,Q2904131,Jeffrey Epstein,American sex offender and financier (1953–2019),human
